Date,DCS,VC,Desc1,Attr,Size,Item#,Last Sold,OHQty,OHExtP$,SoldQty,SoldExtP$,SoldM%,Str,PercentStockSold
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,322,L,35367,,1,39.99,0,0,0,AA,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,322,L,35367,,1,39.99,0,0,0,NOV,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,322,L,35367,,1,39.99,0,0,0,NVL,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,322,L,35367,,1,39.99,0,0,0,WB,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,322,L,35367,,1,39.99,0,0,0,TC2,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,322,L,35367,,1,39.99,0,0,0,TC1,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,322,L,35367,,1,39.99,0,0,0,AAW,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,535,L,35368,4/4/2013,0,0,1,39.99,52.99,AA,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,535,L,35368,4/4/2013,1,39.99,0,0,0,NOV,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,535,L,35368,4/4/2013,1,39.99,0,0,0,NVL,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,535,L,35368,4/4/2013,1,39.99,0,0,0,WB,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,535,L,35368,4/4/2013,2,79.98,0,0,0,TC2,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,535,L,35368,4/4/2013,1,39.99,0,0,0,AAW,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,535,M,35369,4/21/2013,2,79.98,0,0,0,AA,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,535,M,35369,4/21/2013,2,79.98,0,0,0,NOV,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,535,M,35369,4/21/2013,2,79.98,0,0,0,NVL,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,535,M,35369,4/21/2013,2,79.98,0,0,0,WB,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,535,M,35369,4/21/2013,4,159.96,0,0,0,TC2,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,535,M,35369,4/21/2013,0,0,1,39.99,52.99,AAW,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,535,S,35370,,2,79.98,0,0,0,AA,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,535,S,35370,,2,79.98,0,0,0,NOV,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,535,S,35370,,2,79.98,0,0,0,NVL,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,535,S,35370,,2,79.98,0,0,0,WB,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,535,S,35370,,4,159.96,0,0,0,TC2,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,535,S,35370,,2,79.98,0,0,0,AAW,
